itemId,col,perplexity,toxicity,sentiment
23512,s_synth_dense,44.110572814941406,0.0005819372,0.8885
23512,s_synth_aspect,50.76665115356445,0.0006607856,0.7351
23512,s_combo_dense,71.53404998779297,0.0006209003,0.9999
23512,s_combo_aspect,71.53404998779297,0.0006209003,0.9998
23512,m_synth_dense,27.16192054748535,0.0012101821,0.9618
23512,m_synth_aspect,55.619651794433594,0.00073633244,0.802
23512,m_combo_dense,71.53404998779297,0.0006209003,0.9999
23512,m_combo_aspect,71.53404998779297,0.0006209003,0.9999
23512,l_synth_dense,22.755516052246094,0.00088080263,0.9806
23512,l_synth_aspect,50.76665115356445,0.0006607856,0.7351
23512,l_combo_dense,71.53404998779297,0.0006209003,0.9999
23512,l_combo_aspect,71.53404998779297,0.0006209003,0.9998
25092,s_synth_dense,41.18834686279297,0.0014199052,0.8442
25092,s_synth_aspect,42.173336029052734,0.0009542356,-0.5106
25092,s_combo_dense,44.36484146118164,0.16549349,0.9965
25092,s_combo_aspect,44.36484146118164,0.16549349,0.9932
25092,m_synth_dense,30.092361450195312,0.00089549186,0.8442
25092,m_synth_aspect,51.68187713623047,0.02310012,-0.765
25092,m_combo_dense,44.36484146118164,0.16549349,0.9965
25092,m_combo_aspect,44.36484146118164,0.16549349,0.9916
25092,l_synth_dense,26.25409698486328,0.00076205493,0.6983
25092,l_synth_aspect,141.66815185546875,0.00084655033,-0.0516
25092,l_combo_dense,44.36484146118164,0.16549349,0.9958
25092,l_combo_aspect,44.36484146118164,0.16549349,0.9944
61679,s_synth_dense,36.58953094482422,0.0009963774,0.4404
61679,s_synth_aspect,53.614158630371094,0.0014469374,-0.4588
61679,s_combo_dense,69.82048034667969,0.0014268727,0.9995
61679,s_combo_aspect,69.82048034667969,0.0014268727,0.9995
61679,m_synth_dense,27.60125732421875,0.00085334445,0.93
61679,m_synth_aspect,55.1424674987793,0.0012233836,-0.3182
61679,m_combo_dense,69.82048034667969,0.0014268727,0.9996
61679,m_combo_aspect,69.82048034667969,0.0014268727,0.9995
61679,l_synth_dense,23.196834564208984,0.00081720366,0.9561
61679,l_synth_aspect,53.614158630371094,0.0014469374,-0.4588
61679,l_combo_dense,69.82048034667969,0.0014268727,0.9996
61679,l_combo_aspect,69.82048034667969,0.0014268727,0.9995
1120,s_synth_dense,48.20005798339844,0.0008524176,0.91
1120,s_synth_aspect,46.22498321533203,0.00084582914,0.7906
1120,s_combo_dense,60.45867919921875,0.0026771356,0.9995
1120,s_combo_aspect,60.45867919921875,0.0026771356,0.9995
1120,m_synth_dense,24.481155395507812,0.0010094898,0.9501
1120,m_synth_aspect,48.223106384277344,0.0009169862,0.5719
1120,m_combo_dense,60.45867919921875,0.0026771356,0.9996
