itemId,col,perplexity,toxicity,sentiment
7102,s_synth_dense,54.00709915161133,0.0007573831,0.9702
7102,s_synth_aspect,66.86539459228516,0.0012166887,0.0
7102,s_combo_dense,39.01818084716797,0.0035135362,0.9992
7102,s_combo_aspect,39.01818084716797,0.0035135362,0.9987
7102,m_synth_dense,40.12651443481445,0.0007686463,0.9618
7102,m_synth_aspect,71.76634216308594,0.0015715619,-0.34
7102,m_combo_dense,39.01818084716797,0.0035135362,0.9992
7102,m_combo_aspect,39.01818084716797,0.0035135362,0.9986
7102,l_synth_dense,50.706844329833984,0.00086384395,0.9887
7102,l_synth_aspect,107.943115234375,0.0011584989,-0.2263
7102,l_combo_dense,39.01818084716797,0.0035135362,0.9994
7102,l_combo_aspect,39.01818084716797,0.0035135362,0.9986
12630,s_synth_dense,80.68186950683594,0.00074079674,0.9531
12630,s_synth_aspect,92.79573822021484,0.00087379257,0.8677
12630,s_combo_dense,36.187339782714844,0.0011363536,0.9994
12630,s_combo_aspect,36.187339782714844,0.0011363536,0.9993
12630,m_synth_dense,45.597835540771484,0.00078773353,0.9674
12630,m_synth_aspect,68.74004364013672,0.0009639776,0.8591
12630,m_combo_dense,36.187339782714844,0.0011363536,0.9994
12630,m_combo_aspect,36.187339782714844,0.0011363536,0.9993
12630,l_synth_dense,46.331722259521484,0.00092812924,0.9806
12630,l_synth_aspect,88.42922973632812,0.0013500191,0.7845
12630,l_combo_dense,36.187339782714844,0.0011363536,0.9995
12630,l_combo_aspect,36.187339782714844,0.0011363536,0.9993
12126,s_synth_dense,96.43743133544922,0.007468868,0.9652
12126,s_synth_aspect,223.96803283691406,0.0006801394,0.4767
12126,s_combo_dense,41.27459716796875,0.0037214842,0.9996
12126,s_combo_aspect,42.55565643310547,0.0037214842,0.9995
12126,m_synth_dense,61.35813903808594,0.0040331963,0.9816
12126,m_synth_aspect,223.34584045410156,0.0007497258,0.6134
12126,m_combo_dense,36.46876907348633,0.0037214842,0.9997
12126,m_combo_aspect,41.586299896240234,0.0037214842,0.9995
12126,l_synth_dense,48.36506271362305,0.0012009433,0.9882
12126,l_synth_aspect,239.9794158935547,0.0009954908,0.5859
12126,l_combo_dense,34.79851150512695,0.0037214842,0.9997
12126,l_combo_aspect,42.92340850830078,0.0037214842,0.9995
3354,s_synth_dense,64.7092514038086,0.0007319137,0.9246
3354,s_synth_aspect,104.45277404785156,0.00069964014,0.3818
3354,s_combo_dense,35.51712417602539,0.0009301393,0.9978
3354,s_combo_aspect,38.0389289855957,0.0009301393,0.9965
3354,m_synth_dense,40.877803802490234,0.0006798717,0.9794
3354,m_synth_aspect,86.50223541259766,0.0009773173,0.0
3354,m_combo_dense,35.40224838256836,0.0009301393,0.9986
3354,m_combo_aspect,38.070804595947266,0.0009301393,0.9961
3354,l_synth_dense,52.36277389526367,0.0007244183,0.9628
3354,l_synth_aspect,81.77672576904297,0.0006460549,0.3818
3354,l_combo_dense,36.117496490478516,0.0009301393,0.9989
3354,l_combo_aspect,36.497039794921875,0.0009301393,0.9965
9545,s_synth_dense,53.141231536865234,0.00088898325,0.9153
9545,s_synth_aspect,169.0189971923828,0.0007543313,0.5106
9545,s_combo_dense,38.8534049987793,0.0013303839,0.9989
9545,s_combo_aspect,42.12303924560547,0.0013303839,0.9987
9545,m_synth_dense,26.139841079711914,0.0009517886,0.923
9545,m_synth_aspect,138.2135009765625,0.0010401312,0.5106
9545,m_combo_dense,34.12813186645508,0.0013303839,0.9989
9545,m_combo_aspect,41.41184616088867,0.0013303839,0.9987
9545,l_synth_dense,29.06221580505371,0.000999346,0.969
9545,l_synth_aspect,162.1235809326172,0.0011982488,0.5106
9545,l_combo_dense,36.36959457397461,0.0013303839,0.999
9545,l_combo_aspect,42.02464294433594,0.0013303839,0.9987
7545,s_synth_dense,70.61952209472656,0.0007885668,0.9477
7545,s_synth_aspect,54.9926872253418,0.00065493066,0.9118
7545,s_combo_dense,56.949710845947266,0.0014848546,0.9989
7545,s_combo_aspect,53.390342712402344,0.0015648261,0.9988
7545,m_synth_dense,43.873043060302734,0.00088001444,0.986
7545,m_synth_aspect,35.58864212036133,0.0008536767,0.8726
7545,m_combo_dense,50.9311408996582,0.0015931384,0.9993
7545,m_combo_aspect,51.487510681152344,0.0015648261,0.9989
7545,l_synth_dense,43.22834396362305,0.00088780746,0.991
7545,l_synth_aspect,35.14851760864258,0.0009592944,0.9274
7545,l_combo_dense,47.783782958984375,0.0015931384,0.9994
7545,l_combo_aspect,52.601314544677734,0.0015648261,0.9989
1040,s_synth_dense,64.8704605102539,0.0008037493,0.9371
1040,s_synth_aspect,48.30891799926758,0.0067230305,-0.2732
1040,s_combo_dense,50.64837646484375,0.0037585245,0.998
1040,s_combo_aspect,53.96489334106445,0.0058566756,0.9962
1040,m_synth_dense,45.13480758666992,0.003012405,0.9766
1040,m_synth_aspect,49.039695739746094,0.003041452,-0.5859
1040,m_combo_dense,47.23497009277344,0.0063820826,0.9986
1040,m_combo_aspect,53.861202239990234,0.0057952497,0.9958
1040,l_synth_dense,45.02577209472656,0.0055204253,0.9825
1040,l_synth_aspect,42.170860290527344,0.0011984966,-0.4019
1040,l_combo_dense,44.98387145996094,0.0062486725,0.9987
1040,l_combo_aspect,50.85636901855469,0.0044548186,0.9961
28086,s_synth_dense,31.86211395263672,0.0007594871,0.9476
28086,s_synth_aspect,108.68379211425781,0.00066779513,0.7964
28086,s_combo_dense,21.62735939025879,0.001242518,0.9988
28086,s_combo_aspect,23.775300979614258,0.001242518,0.9985
28086,m_synth_dense,32.67690658569336,0.00067157025,0.9757
28086,m_synth_aspect,190.66415405273438,0.000680365,0.6369
28086,m_combo_dense,21.357337951660156,0.001242518,0.9989
28086,m_combo_aspect,24.070249557495117,0.001242518,0.9984
28086,l_synth_dense,32.54063415527344,0.0006667401,0.9883
28086,l_synth_aspect,94.1237564086914,0.00068114547,0.7964
28086,l_combo_dense,21.599618911743164,0.001242518,0.999
28086,l_combo_aspect,23.81992530822754,0.001242518,0.9985
14397,s_synth_dense,39.98355484008789,0.005157536,0.9371
14397,s_synth_aspect,54.91957473754883,0.016215494,-0.5106
14397,s_combo_dense,38.932586669921875,0.001564251,0.9994
14397,s_combo_aspect,40.94618225097656,0.001564251,0.999
14397,m_synth_dense,35.34272384643555,0.0038804028,0.979
14397,m_synth_aspect,57.858150482177734,0.082694106,0.765
14397,m_combo_dense,37.69336700439453,0.001564251,0.9995
14397,m_combo_aspect,40.214168548583984,0.001564251,0.9992
14397,l_synth_dense,37.48185729980469,0.0026885555,0.9912
14397,l_synth_aspect,57.858150482177734,0.082694106,0.765
14397,l_combo_dense,37.654052734375,0.001564251,0.9996
14397,l_combo_aspect,40.214168548583984,0.001564251,0.9992
10542,s_synth_dense,72.18312072753906,0.002101531,0.9657
10542,s_synth_aspect,87.9062271118164,0.0013603495,0.8068
10542,s_combo_dense,59.94520950317383,0.0024333354,0.9994
10542,s_combo_aspect,63.162452697753906,0.0024333354,0.9992
10542,m_synth_dense,55.015926361083984,0.0008857774,0.9862
10542,m_synth_aspect,131.3434600830078,0.000998088,0.5719
10542,m_combo_dense,58.9293212890625,0.0024333354,0.9995
10542,m_combo_aspect,62.92385482788086,0.0024333354,0.9992
10542,l_synth_dense,48.095218658447266,0.0013407557,0.994
10542,l_synth_aspect,42.32463073730469,0.0014138111,0.846
10542,l_combo_dense,59.667789459228516,0.0024333354,0.9996
10542,l_combo_aspect,59.89957809448242,0.0024333354,0.9993
25955,s_synth_dense,45.89834976196289,0.018725963,0.8126
25955,s_synth_aspect,40.52721405029297,0.023296297,0.7003
25955,s_combo_dense,36.785980224609375,0.014267556,0.9995
